family,seed,mechanism,revenue_train_norm,revenue_naive_norm,revenue_strategic_norm,generalization_gap,leakage,mono_violation_rate,sep_violation_rate,sep_mean_gain,sep_max_gain,served_naive,served_strategic,plans_verified,plans_failed,multi_source
support_rows,3,support_set,0.15962351759656762,0.2064246774523997,0.20102039885793296,-0.29319714638865,0.026180390160536648,0.38446507083536885,0.1036036036036036,0.08344395645355036,0.9581632653061225,0.9975,0.9975,23,0,1
support_rows,3,compute_metered,0.2040570953213144,0.18861992009939796,0.17425104265463554,0.07565125435902442,0.07617900292392438,0.407914020517831,0.36036036036036034,0.1371295256054191,0.9894593958476788,0.8275,0.83,80,0,1
support_rows,3,monopoly_per_asset,1.0,0.5401224724233807,0.5559988956893479,0.45987752757661926,-0.029394117217034162,0.47337567171470446,0.36036036036036034,0.2136658159345224,0.9886605671770355,0.41625,0.6725,80,0,1
support_rows,3,monotone_constrained,0.5779362194857286,0.40999722868427235,0.40999722868427235,0.2905839522411232,0.0,0.0,0.0,0.0,0.0,0.2775,0.2775,0,0,0
support_rows,4,uniform,0.5706387586386542,0.537351497718066,0.537351497718066,0.05833333333333346,0.0,0.0,0.0,0.0,0.0,0.42375,0.42375,0,0,0
support_rows,4,size_proportional,0.17019113916347103,0.15624248735512558,0.15624248735512558,0.08195874283999927,0.0,0.0,0.0,0.0,0.0,0.8325,0.8325,0,0,0
support_rows,4,support_set,0.19339649861420805,0.18587330433160815,0.17489250735532533,0.03890036446630474,0.05907678359605899,0.38446507083536885,0.1036036036036036,0.08344395645355036,0.9581632653061225,1.0,1.0,23,0,1
support_rows,4,compute_metered,0.17670656731192808,0.12246023052836864,0.09067288800122095,0.3069854030258088,0.25957278040387133,0.407914020517831,0.36036036036036034,0.13712952560541913,0.989459395847679,0.86875,0.87,80,0,1
support_rows,4,monopoly_per_asset,1.0,0.513196922097617,0.4736063563696184,0.486803077902383,0.07714497890240261,0.5119687347337567,0.38288288288288286,0.2413218757309438,0.966386351546722,0.41125,0.72,85,0,0
support_rows,4,monotone_constrained,0.6162183184973197,0.36808914033822787,0.36808914033822787,0.40266439784550334,0.0,0.0,0.0,0.0,0.0,0.17375,0.17375,0,0,0
rows_x_log_support,0,uniform,0.5014653080216646,0.8876512348889234,0.8876512348889234,-0.7701149425287352,0.0,0.0,0.0,0.0,0.0,0.1925,0.1925,0,0,0
rows_x_log_support,0,size_proportional,0.5839586045676328,0.9982849250017216,0.9982849250017216,-0.7095131695864967,0.0,0.0,0.0,0.0,0.0,0.9575,0.9575,0,0,0
rows_x_log_support,0,support_set,0.018649082969152183,0.026998747426923507,0.02632590566593778,-0.4477252029809009,0.02492122135691227,0.38446507083536885,0.1036036036036036,0.08344395645355036,0.9581632653061225,0.865,0.8975,23,0,1
rows_x_log_support,0,compute_metered,0.26111028211231335,0.3504425004983235,0.3496133267729055,-0.34212447577068206,0.002366076386964792,0.407914020517831,0.36036036036036034,0.1371295256054191,0.9894593958476788,0.895,0.935,80,0,1
rows_x_log_support,0,monopoly_per_asset,1.0,1.0684142450436505,1.0706324680006511,-0.06841424504365046,-0.0020761824987741867,0.2154372252076209,0.3333333333333333,0.2023142363637203,0.989216503656384,0.45375,0.55875,74,0,1
rows_x_log_support,0,monotone_constrained,0.9688519069809594,1.0530431800686986,1.0530431800686986,-0.08689797943432631,0.0,0.0,0.0,0.0,0.0,0.325,0.325,0,0,0
rows_x_log_support,1,uniform,0.41798365849854713,0.19799225928878542,0.19799225928878542,0.5263157894736843,0.0,0.0,0.0,0.0,0.0,0.0225,0.0225,0,0,0
rows_x_log_support,1,size_proportional,0.5136795925175184,0.29270020898828436,0.29270020898828436,0.43018914270318764,0.0,0.0,0.0,0.0,0.0,0.99375,0.99375,0,0,0
