queries,distinct_q,tables,gb,group_agg,max_q_per_table,q_per_table
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,2,2,2.0
2,2,2,0.0,0,2,1.0
2,2,5,0.001,0,2,0.4
2,2,4,0.088,0,2,0.5
2,2,1,0.103,0,2,2.0
2,2,3,0.01,0,2,0.67
2,2,1,0.002,0,2,2.0
2,1,2,0.002,0,2,1.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,1,1,0.001,0,2,2.0
2,2,1,0.0,0,2,2.0
2,1,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,1,1,0.018,0,2,2.0
2,1,1,0.015,0,2,2.0
2,2,1,0.0,0,2,2.0
2,1,1,0.0,0,2,2.0
2,2,1,0.008,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.001,0,2,2.0
2,2,1,0.0,0,2,2.0
2,1,1,0.016,2,2,2.0
2,1,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.142,0,2,2.0
2,2,1,0.001,0,2,2.0
2,2,1,0.0,0,2,2.0
2,1,1,0.0,0,2,2.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.035,0,1,1.0
1,1,1,0.11,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.003,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.005,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
