family,seed,mechanism,revenue_train_norm,revenue_naive_norm,revenue_strategic_norm,generalization_gap,leakage,mono_violation_rate,sep_violation_rate,sep_mean_gain,sep_max_gain,served_naive,served_strategic,plans_verified,plans_failed
support_rows,4,querymarket_viewcover,0.1511982869539627,0.29011273318621905,0.29011273318621905,-0.9187567467252682,0.0,0.05862237420615535,0.0,0.0,0.0,0.84875,0.84875,0,0
support_rows,4,monopoly_per_asset,1.0,0.513196922097617,0.4736063563696184,0.486803077902383,0.07714497890240261,0.5119687347337567,0.38288288288288286,0.2413218757309438,0.966386351546722,0.41125,0.72,85,0
support_rows,4,monotone_constrained,0.6162183184973197,0.36808914033822787,0.36808914033822787,0.40266439784550334,0.0,0.0,0.0,0.0,0.0,0.17375,0.17375,0,0
rows_x_log_support,0,uniform,0.5014653080216646,0.8876512348889234,0.8876512348889234,-0.7701149425287352,0.0,0.0,0.0,0.0,0.0,0.1925,0.1925,0,0
rows_x_log_support,0,size_proportional,0.5839586045676328,0.9982849250017216,0.9982849250017216,-0.7095131695864967,0.0,0.0,0.0,0.0,0.0,0.9575,0.9575,0,0
rows_x_log_support,0,compute_metered,0.2897086426607836,0.35467778198645955,0.35325403028006325,-0.22425682136707104,0.004014211711887421,0.46995603321934537,0.32432432432432434,0.1531774300705188,0.9873218090283621,0.825,0.89,72,0
rows_x_log_support,0,qirana_weighted_coverage,0.02396436100300523,0.018597797582591752,0.018284515125974732,0.2239393497594403,0.01684513745381677,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.96125,0.96125,2,0
rows_x_log_support,0,qirana_uniform_gain,0.02396436100300523,0.018597797582591752,0.018284515125974732,0.2239393497594403,0.01684513745381677,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.96125,0.96125,2,0
rows_x_log_support,0,qirana_shannon,0.024132974579796816,0.01880846498904548,0.01849164941492591,0.22063213024758277,0.01684430783182432,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.96125,0.96125,2,0
rows_x_log_support,0,querymarket_viewcover,0.02593708735775828,0.01598618585497157,0.01598618585497157,0.38365531817550835,0.0,0.05862237420615535,0.0,0.0,0.0,0.77,0.77,0,0
rows_x_log_support,0,monopoly_per_asset,1.0,1.0684142450436505,1.0706324680006511,-0.06841424504365046,-0.0020761824987741867,0.2154372252076209,0.3333333333333333,0.2023142363637203,0.989216503656384,0.45375,0.55875,74,0
rows_x_log_support,0,monotone_constrained,0.9688519069809594,1.0530431800686986,1.0530431800686986,-0.08689797943432631,0.0,0.0,0.0,0.0,0.0,0.325,0.325,0,0
rows_x_log_support,1,uniform,0.41798365849854713,0.19799225928878542,0.19799225928878542,0.5263157894736843,0.0,0.0,0.0,0.0,0.0,0.0225,0.0225,0,0
rows_x_log_support,1,size_proportional,0.5136795925175184,0.29270020898828436,0.29270020898828436,0.43018914270318764,0.0,0.0,0.0,0.0,0.0,0.99375,0.99375,0,0
rows_x_log_support,1,compute_metered,0.5232311924645469,0.18848783199822408,0.18757500774723895,0.6397618591689835,0.004842881587145354,0.46995603321934537,0.32432432432432434,0.1531774300705188,0.9873218090283621,0.64,0.7375,72,0
rows_x_log_support,1,qirana_weighted_coverage,0.04993898645771204,0.03203787273457014,0.03187262609744233,0.3584596923748228,0.005157852972850494,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.87,0.87,2,0
rows_x_log_support,1,qirana_uniform_gain,0.04993898645771204,0.03203787273457014,0.03187262609744233,0.3584596923748228,0.005157852972850494,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.87,0.87,2,0
rows_x_log_support,1,qirana_shannon,0.05045864318407692,0.032399939237838515,0.03223282869447984,0.35789119180947637,0.005157742492415509,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.87,0.87,2,0
rows_x_log_support,1,querymarket_viewcover,0.031011228040225533,0.03998261944387601,0.03998261944387601,-0.2892949415615993,0.0,0.05862237420615535,0.0,0.0,0.0,0.615,0.615,0,0
rows_x_log_support,1,monopoly_per_asset,1.0,0.2871203034378324,0.3080885293606021,0.7128796965621675,-0.07302940848037158,0.22032242305813385,0.31981981981981983,0.1922021939853595,0.9860746913960929,0.3875,0.61375,71,0
rows_x_log_support,1,monotone_constrained,0.9250070843446903,0.2764471740426822,0.2764471740426822,0.7011404791147867,0.0,0.0,0.0,0.0,0.0,0.21875,0.21875,0,0
rows_x_log_support,2,uniform,0.3882584245418847,0.8129160763845711,0.8129160763845711,-1.09375,0.0,0.0,0.0,0.0,0.0,0.08375,0.08375,0,0
rows_x_log_support,2,size_proportional,0.4647317673540422,0.8938708913270258,0.8938708913270258,-0.9234125018315276,0.0,0.0,0.0,0.0,0.0,0.97375,0.97375,0,0
rows_x_log_support,2,compute_metered,0.3152774546733232,0.7687295885256467,0.7649749489676272,-1.438263748742107,0.004884213661165992,0.46995603321934537,0.32432432432432434,0.1531774300705188,0.9873218090283621,0.82875,0.89625,72,0
rows_x_log_support,2,qirana_weighted_coverage,0.03428582403643182,0.037638952418299704,0.03733851764052164,-0.09779926474291178,0.007982017523739539,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.9675,0.9675,2,0
