market,assets,pairs,falsified,zero_priced,family,seed,mechanism,revenue_norm,welfare_norm,served,mono_violation_rate,status
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,answer_cells,1.0,chawla_ubp,0.4795477978504519,0.7910607132899192,0.2875,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,answer_cells,1.0,chawla_lpip,0.023020420662925038,1.146900917551533,0.7225,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,answer_cells,2.0,uniform,0.7976423496478628,1.5975557716981839,0.6125,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,answer_cells,2.0,qirana_weighted_coverage,0.006088775623091422,1.8326732344912402,0.97,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,answer_cells,2.0,querymarket_viewcover,0.5216058653417776,1.8084650096206167,0.89,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,answer_cells,2.0,monopoly_per_asset,0.5732645005095811,1.0292093485919407,0.4275,0.47368421052631576,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,answer_cells,2.0,chawla_ubp,0.7970261244739146,1.5260289669863198,0.56,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,answer_cells,2.0,chawla_lpip,0.006253621653433195,1.8326732344912402,0.97,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,support_rows,0.0,uniform,0.4628049403302421,0.8922850152573674,0.2275,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,support_rows,0.0,qirana_weighted_coverage,0.0,1.3172483829437767,1.0,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,support_rows,0.0,querymarket_viewcover,0.40025950138941135,1.1597784165914853,0.6575,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,support_rows,0.0,monopoly_per_asset,0.4163557475287269,0.8752865556544525,0.585,0.2007042253521127,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,support_rows,0.0,chawla_ubp,0.3876513305233659,0.7551720780850546,0.165,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,support_rows,0.0,chawla_lpip,0.0,1.3172483829437767,1.0,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,support_rows,1.0,uniform,1.058665663911666,2.4965534981042845,0.4525,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,support_rows,1.0,qirana_weighted_coverage,0.0,2.861695206094459,1.0,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,support_rows,1.0,querymarket_viewcover,0.9329713867310152,2.704053991078549,0.7225,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,support_rows,1.0,monopoly_per_asset,1.0097079933662338,2.221121238747149,0.5175,0.22887323943661972,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,support_rows,1.0,chawla_ubp,1.095754156705752,1.9020019386732157,0.265,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,support_rows,1.0,chawla_lpip,0.0,2.861695206094459,1.0,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,support_rows,2.0,uniform,1.1407269770701316,2.5935519243900034,0.405,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,support_rows,2.0,qirana_weighted_coverage,0.0,3.0811760971633055,1.0,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,support_rows,2.0,querymarket_viewcover,0.9818802304591003,2.760010523748146,0.5975,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,support_rows,2.0,monopoly_per_asset,1.1114733392430334,1.9400539621080264,0.3825,0.2746478873239437,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,support_rows,2.0,chawla_ubp,1.2124392345595352,2.1805903149992543,0.29,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,support_rows,2.0,chawla_lpip,0.0,3.0811760971633055,1.0,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,answer_cells,0.0,uniform,0.4628049403302421,0.8922850152573674,0.2275,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,answer_cells,0.0,qirana_weighted_coverage,0.0,1.3172483829437767,1.0,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,answer_cells,0.0,querymarket_viewcover,0.40025950138941135,1.1597784165914853,0.6575,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,answer_cells,0.0,monopoly_per_asset,0.4163557475287269,0.8752865556544525,0.585,0.2007042253521127,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,answer_cells,0.0,chawla_ubp,0.3876513305233659,0.7551720780850546,0.165,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,answer_cells,0.0,chawla_lpip,0.0,1.3172483829437767,1.0,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,answer_cells,1.0,uniform,1.058665663911666,2.4965534981042845,0.4525,0.0,ok
